OBJECTID,ITL121CD,ITL121NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,TLC,North East (England),417314,600356,-1.72888,55.29701,8605837804,646536.0253,3a1e31b6-4e91-4e6b-a212-43ce7594007d
2,TLD,North West (England),350014,506279,-2.77239,54.44944,14177525704,1080433.498,56b13394-e084-4944-b932-0389824ef943
3,TLE,Yorkshire and The Humber,446902,448736,-1.28714,53.93264,15426738687,874153.25,20941612-4116-473f-826e-5ceddf012f6e
4,TLF,East Midlands (England),477659,322635,-0.84969,52.79572,15660645092,896139.6149,b0bf35e7-2d8f-4aad-a7c8-65c1dfe3fa3e
5,TLG,West Midlands (England),386294,295477,-2.20358,52.55697,13001535233,774634.4829,e3cc7186-60d2-4f59-832e-5312bc33173b
6,TLH,East,571078,263235,0.504207,52.24073,19150107179,1081711.85,c4b25724-234c-4398-a09c-d1466dda31a0
7,TLI,London,517515,178392,-0.30866,51.49227,1584124702,271231.4172,c08a2b08-dad0-479a-ac17-eccfc336a348
8,TLJ,South East (England),470062,172924,-0.99311,51.45097,19105630090,1468899.736,73af7d17-1cdd-49d2-9ed6-8f31b9ee6591
9,TLK,South West (England),285013,102567,-3.63346,50.81119,23968923689,1661599.322,4c8ad5ca-5f82-4040-95fb-be31f984abea
10,TLL,Wales,263405,242881,-3.99417,52.06741,20818675971,1555750.433,e2f20e65-69a8-4fb0-9c36-ee3cd7c8e7fb
11,TLM,Scotland,277744,700060,-3.97094,56.17743,78654826321,9816914.798,b111fe1e-771e-4a35-bdab-cca58fcf17e4
12,TLN,Northern Ireland,86544,535337,-6.8557,54.61501,14331860006,829125.1719,bade4b3a-a047-49d3-9685-abfd0679fd70
